Agency code,Site no.,Date,Time,Time Zone Code,,GW Level,GW Level Code
USGS,4.13E+14,12/8/2022,14:30,EST,34.97,10.658856,A
USGS,4.13E+14,12/8/2022,14:45,EST,34.97,10.658856,A
USGS,4.13E+14,12/8/2022,15:00,EST,34.96,10.655808,A
USGS,4.13E+14,12/8/2022,15:15,EST,34.97,10.658856,A
USGS,4.13E+14,12/8/2022,15:30,EST,34.97,10.658856,A
USGS,4.13E+14,12/8/2022,15:45,EST,34.97,10.658856,A
USGS,4.13E+14,12/8/2022,16:00,EST,34.96,10.655808,A
USGS,4.13E+14,12/8/2022,16:15,EST,34.96,10.655808,A
USGS,4.13E+14,12/8/2022,16:30,EST,34.96,10.655808,A
USGS,4.13E+14,12/8/2022,16:45,EST,34.96,10.655808,A
USGS,4.13E+14,12/8/2022,17:00,EST,34.96,10.655808,A
USGS,4.13E+14,12/8/2022,17:15,EST,34.96,10.655808,A
USGS,4.13E+14,12/8/2022,17:30,EST,34.96,10.655808,A
USGS,4.13E+14,12/8/2022,17:45,EST,34.96,10.655808,A
USGS,4.13E+14,12/8/2022,18:00,EST,34.96,10.655808,A
USGS,4.13E+14,12/8/2022,18:15,EST,34.96,10.655808,A
USGS,4.13E+14,12/8/2022,18:30,EST,34.96,10.655808,A
USGS,4.13E+14,12/8/2022,18:45,EST,34.95,10.65276,A
USGS,4.13E+14,12/8/2022,19:00,EST,34.95,10.65276,A
USGS,4.13E+14,12/8/2022,19:15,EST,34.95,10.65276,A
USGS,4.13E+14,12/8/2022,19:30,EST,34.95,10.65276,A
USGS,4.13E+14,12/8/2022,19:45,EST,34.95,10.65276,A
USGS,4.13E+14,12/8/2022,20:00,EST,34.95,10.65276,A
USGS,4.13E+14,12/8/2022,20:15,EST,34.95,10.65276,A
USGS,4.13E+14,12/8/2022,20:30,EST,34.95,10.65276,A
USGS,4.13E+14,12/8/2022,20:45,EST,34.95,10.65276,A
USGS,4.13E+14,12/8/2022,21:00,EST,34.95,10.65276,A
USGS,4.13E+14,12/8/2022,21:15,EST,34.95,10.65276,A
USGS,4.13E+14,12/8/2022,21:30,EST,34.95,10.65276,A
USGS,4.13E+14,12/8/2022,21:45,EST,34.94,10.649712,A
USGS,4.13E+14,12/8/2022,22:00,EST,34.94,10.649712,A
USGS,4.13E+14,12/8/2022,22:15,EST,34.94,10.649712,A
